Company;Year;Type
UBS;2008;CR-DE
UBS;2008;CR-EN
UBS;2013;AR-EN
UBS;2013;CR-EN
ZKB;2013;GB-DE
ZKB;2013;NB-DE
ZKB;2014;GB-DE
ZKB;2014;NB-DE
ZKB;2015;GB-DE
ZKB;2015;NB-DE
ZKB;2016;GB-DE
ZKB;2016;NB-DE
ZKB;2017;GB-DE
ZKB;2018;GB-DE
Zurich;2015;GB-DE
Zurich;2015;GB-EN
Zurich;2016;GB-DE
Zurich;2016;GB-EN
Zurich;2017;GB-DE
Zurich;2017;GB-EN
Zurich;2018;GB-DE
Zurich;2018;GB-EN
